// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 1.09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 11.77s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 2.12s and exited with 0
// ***** Done, took 00:00:15 (15.06 sec)   *****
// Found 3 benchmarks:
//   Loop.ForLoop: DefaultJob
//   Loop.ForEachLoop: DefaultJob
//   Loop.ForEachLambdaLoop: DefaultJob

// **************************
// Benchmark: Loop.ForLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3ad14aba-8a4e-4248-9a91-2b5d55d91d39.dll" --benchmarkName "sharplab.Loop.ForLoop" --job "Default" --benchmarkId 0 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.4 (CoreCLR 5.0.421.11614, CoreFX 5.0.421.11614), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 167100.00 ns, 167.1000 us/op
WorkloadJitting  1: 1 op, 352500.00 ns, 352.5000 us/op

OverheadJitting  2: 16 op, 148500.00 ns, 9.2812 us/op
WorkloadJitting  2: 16 op, 150500.00 ns, 9.4062 us/op

WorkloadPilot    1: 16 op, 600.00 ns, 37.5000 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 1700.00 ns, 26.5625 ns/op
WorkloadPilot    4: 128 op, 2300.00 ns, 17.9688 ns/op
WorkloadPilot    5: 256 op, 4100.00 ns, 16.0156 ns/op
WorkloadPilot    6: 512 op, 6700.00 ns, 13.0859 ns/op
WorkloadPilot    7: 1024 op, 12500.00 ns, 12.2070 ns/op
WorkloadPilot    8: 2048 op, 25200.00 ns, 12.3047 ns/op
WorkloadPilot    9: 4096 op, 53400.00 ns, 13.0371 ns/op
WorkloadPilot   10: 8192 op, 98900.00 ns, 12.0728 ns/op
WorkloadPilot   11: 16384 op, 200900.00 ns, 12.2620 ns/op
WorkloadPilot   12: 32768 op, 397600.00 ns, 12.1338 ns/op
WorkloadPilot   13: 65536 op, 797500.00 ns, 12.1689 ns/op
WorkloadPilot   14: 131072 op, 1635300.00 ns, 12.4763 ns/op
WorkloadPilot   15: 262144 op, 3270100.00 ns, 12.4744 ns/op
WorkloadPilot   16: 524288 op, 6453600.00 ns, 12.3093 ns/op
WorkloadPilot   17: 1048576 op, 12930400.00 ns, 12.3314 ns/op
WorkloadPilot   18: 2097152 op, 26102200.00 ns, 12.4465 ns/op
WorkloadPilot   19: 4194304 op, 58368000.00 ns, 13.9160 ns/op
WorkloadPilot   20: 8388608 op, 100788600.00 ns, 12.0149 ns/op
WorkloadPilot   21: 16777216 op, 201266900.00 ns, 11.9964 ns/op
WorkloadPilot   22: 33554432 op, 402915900.00 ns, 12.0078 ns/op
WorkloadPilot   23: 67108864 op, 802522100.00 ns, 11.9585 ns/op

OverheadWarmup   1: 67108864 op, 132778500.00 ns, 1.9786 ns/op
OverheadWarmup   2: 67108864 op, 132071400.00 ns, 1.9680 ns/op
OverheadWarmup   3: 67108864 op, 117702600.00 ns, 1.7539 ns/op
OverheadWarmup   4: 67108864 op, 99787700.00 ns, 1.4870 ns/op
OverheadWarmup   5: 67108864 op, 99864900.00 ns, 1.4881 ns/op
OverheadWarmup   6: 67108864 op, 99917800.00 ns, 1.4889 ns/op
OverheadWarmup   7: 67108864 op, 99901600.00 ns, 1.4886 ns/op
OverheadWarmup   8: 67108864 op, 100002200.00 ns, 1.4901 ns/op
OverheadWarmup   9: 67108864 op, 99958500.00 ns, 1.4895 ns/op

OverheadActual   1: 67108864 op, 101737000.00 ns, 1.5160 ns/op
OverheadActual   2: 67108864 op, 99932700.00 ns, 1.4891 ns/op
OverheadActual   3: 67108864 op, 99949400.00 ns, 1.4894 ns/op
OverheadActual   4: 67108864 op, 99929600.00 ns, 1.4891 ns/op
OverheadActual   5: 67108864 op, 100301600.00 ns, 1.4946 ns/op
